n,time
415,0.000462
416,0.000282
417,0.000402
418,0.000499
419,0.000607
420,0.000298
421,0.000646
422,0.000515
423,0.000628
424,0.000611
425,0.000359
426,0.000526
427,0.000318
428,0.0003
429,0.000298
430,0.000293
431,0.00028
432,0.000304
433,0.000314
434,0.00031
435,0.000306
436,0.000297
437,0.000315
438,0.000309
439,0.000305
440,0.000314
441,0.000303
442,0.000497
443,0.000449
444,0.000567
445,0.000453
446,0.0005
447,0.000697
448,0.000358
449,0.000341
450,0.00039
451,0.000602
452,0.000731
453,0.000539
454,0.000327
455,0.000325
456,0.000378
457,0.000344
458,0.000344
459,0.000329
460,0.000348
461,0.000339
462,0.000358
463,0.000344
464,0.000355
465,0.00034
466,0.000348
467,0.000432
468,0.000388
469,0.000343
470,0.000344
471,0.000356
472,0.000344
473,0.00035
474,0.000374
475,0.000374
476,0.000405
477,0.000398
478,0.000388
479,0.000354
480,0.000344
481,0.000603
482,0.000477
483,0.000472
484,0.000372
485,0.000404
486,0.000382
487,0.000368
488,0.000378
489,0.000385
490,0.00038
491,0.000392
492,0.000356
493,0.000391
494,0.0004
495,0.0004
496,0.00039
497,0.000387
498,0.000375
499,0.0004
500,0.000395
501,0.000415
502,0.00041
503,0.000393
504,0.000411
505,0.000396
506,0.000422
507,0.000424
508,0.000506
509,0.000402
510,0.000416
511,0.000422
512,0.000474
513,0.000572
514,0.000446
515,0.000505
516,0.000458
517,0.000409
518,0.00046
519,0.000442
520,0.000433
521,0.000433
522,0.000429
523,0.00042
524,0.000432
525,0.00044
526,0.000442
527,0.000441
528,0.000443
529,0.000446
530,0.000447
531,0.000421
532,0.000457
533,0.000452
534,0.000439
535,0.000462
536,0.000489
537,0.000496
538,0.000495
539,0.000612
540,0.000467
541,0.000489
542,0.000491
543,0.000478
544,0.000535
545,0.000658
546,0.00048
547,0.000479
548,0.000483
549,0.000485
550,0.000471
551,0.000488
552,0.000492
553,0.00048
554,0.00047
555,0.000507
556,0.000485
557,0.0005
558,0.000487
559,0.0005
560,0.000483
561,0.000519
562,0.000507
563,0.000501
564,0.000527
565,0.000693
566,0.000522
567,0.000513
568,0.000506
569,0.000536
570,0.000527
571,0.000849
