n,time
382,4.7e-05
383,5.3e-05
384,7.7e-05
385,9.3e-05
386,4.9e-05
387,4.8e-05
388,4.8e-05
389,4.9e-05
390,5.6e-05
391,4.6e-05
392,5.4e-05
393,4.8e-05
394,5.6e-05
395,5.4e-05
396,5.4e-05
397,4.9e-05
398,5.2e-05
399,5.4e-05
400,5.6e-05
401,5.4e-05
402,5.2e-05
403,5.1e-05
404,5.8e-05
405,5.4e-05
406,5.5e-05
407,6.7e-05
408,5.8e-05
409,5.2e-05
410,5.8e-05
411,5.9e-05
412,5e-05
413,5.7e-05
414,5.5e-05
415,5.8e-05
416,5.3e-05
417,5.3e-05
418,5.7e-05
419,5.2e-05
420,5.5e-05
421,6.4e-05
422,5.3e-05
423,5.2e-05
424,6.1e-05
425,5.2e-05
426,5.3e-05
427,5.5e-05
428,5.6e-05
429,6.5e-05
430,5.4e-05
431,5.6e-05
432,6.9e-05
433,8.7e-05
434,5.4e-05
435,6.1e-05
436,5.5e-05
437,5.7e-05
438,5.5e-05
439,5.8e-05
440,6.4e-05
441,5.5e-05
442,5.9e-05
443,6.3e-05
444,5.8e-05
445,6.9e-05
446,8.5e-05
447,5.9e-05
448,6.5e-05
449,6.2e-05
450,6.4e-05
451,6.1e-05
452,6e-05
453,5.6e-05
454,5.8e-05
455,6.1e-05
456,5.8e-05
457,5.8e-05
458,6e-05
459,6e-05
460,6e-05
461,5.9e-05
462,5.9e-05
463,6e-05
464,5.7e-05
465,6.9e-05
466,6e-05
467,6.2e-05
468,5.9e-05
469,5.8e-05
470,8e-05
471,6.1e-05
472,6.3e-05
473,6.1e-05
474,6.1e-05
475,6.6e-05
476,6.3e-05
477,6.8e-05
478,5.9e-05
479,8.8e-05
480,6.6e-05
481,6.8e-05
482,6.6e-05
483,6.6e-05
484,6.8e-05
485,6.8e-05
486,6.2e-05
487,6.6e-05
488,6.6e-05
489,6.2e-05
490,6.4e-05
491,6.5e-05
492,6.3e-05
493,6.3e-05
494,6.3e-05
495,6.2e-05
496,6.5e-05
497,6.5e-05
498,6.4e-05
499,6.8e-05
500,6.9e-05
501,6.7e-05
502,6.7e-05
503,6.3e-05
504,6.9e-05
505,6.4e-05
506,6.6e-05
507,6.7e-05
508,6.8e-05
509,6.8e-05
510,6.3e-05
511,7.1e-05
512,7.3e-05
513,8e-05
514,7e-05
515,7.2e-05
516,6.7e-05
517,7.3e-05
518,6.7e-05
519,6.7e-05
520,6.8e-05
521,6.8e-05
522,6.8e-05
523,7.2e-05
524,7.4e-05
525,6.7e-05
526,7.4e-05
527,7.2e-05
528,6.8e-05
529,7.5e-05
530,8e-05
531,7.1e-05
532,7e-05
533,6.9e-05
534,7.4e-05
535,7.2e-05
536,7.3e-05
537,7.3e-05
538,6.9e-05
539,6.8e-05
540,7.5e-05
541,6.9e-05
542,7e-05
543,7.6e-05
544,8.7e-05
545,8.3e-05
546,7.2e-05
547,7.3e-05
548,7e-05
549,7.1e-05
550,7.2e-05
551,7e-05
552,7.4e-05
553,8.4e-05
554,7.5e-05
555,7.7e-05
556,7e-05
557,7.8e-05
558,7.1e-05
559,7.7e-05
560,7.3e-05
561,8.3e-05
562,8e-05
563,7.6e-05
564,7.6e-05
565,7.6e-05
566,7.9e-05
567,7.6e-05
568,8.2e-05
569,7.5e-05
570,7.7e-05
571,8.4e-05
572,7.3e-05
573,8.2e-05
574,7.5e-05
575,8.2e-05
576,7.3e-05
577,8e-05
578,7.9e-05
579,7.6e-05
580,8.2e-05
581,8.3e-05
582,7.6e-05
583,8.9e-05
584,7.7e-05
585,8.3e-05
586,8.7e-05
587,8.3e-05
588,8e-05
589,7.9e-05
590,8.2e-05
591,8.1e-05
592,8.2e-05
593,7.9e-05
594,8.3e-05
595,8e-05
596,8.2e-05
597,0.000102
598,7.9e-05
599,8.8e-05
600,8.1e-05
601,8.3e-05
602,7.7e-05
603,8.8e-05
604,8.2e-05
605,8.8e-05
606,8.2e-05
607,8.2e-05
608,7.9e-05
609,8e-05
610,8.1e-05
611,8.8e-05
612,8.9e-05
613,8.9e-05
614,8.2e-05
615,8.3e-05
616,8.9e-05
617,8.5e-05
618,9.1e-05
619,8.3e-05
620,9.3e-05
621,9.3e-05
622,8.3e-05
623,8.5e-05
624,8.2e-05
625,7.6e-05
626,8.6e-05
627,8.5e-05
628,8.5e-05
629,8.4e-05
630,9.2e-05
631,8.2e-05
632,8.7e-05
633,8.6e-05
634,8.9e-05
635,8.4e-05
636,8.3e-05
637,8.6e-05
638,8.4e-05
639,8.3e-05
640,8.9e-05
641,8.8e-05
642,0.000104
643,8.6e-05
644,8.8e-05
645,9.1e-05
646,8.9e-05
647,8e-05
648,8.5e-05
649,9.3e-05
650,9.2e-05
651,9e-05
652,8.7e-05
653,8.7e-05
654,8.2e-05
655,9.2e-05
656,9.4e-05
657,9.2e-05
658,9.1e-05
659,8.9e-05
660,8.9e-05
661,9.2e-05
662,8.7e-05
663,0.000117
664,9e-05
665,0.000101
666,8.7e-05
667,8.8e-05
668,9.3e-05
669,9.1e-05
670,9.6e-05
671,9.4e-05
672,8.8e-05
673,8.9e-05
674,9.7e-05
675,9e-05
676,9.3e-05
677,9.4e-05
678,0.000108
679,9.1e-05
680,9.7e-05
681,9.6e-05
682,0.000105
683,9.4e-05
684,9e-05
685,9e-05
686,9.9e-05
687,0.000101
688,8.9e-05
689,9.2e-05
690,9.2e-05
691,8.8e-05
692,9e-05
693,8.9e-05
694,9.4e-05
695,8.6e-05
696,0.000103
697,9.7e-05
698,9.3e-05
699,0.000125
700,0.000107
701,0.000101
702,9.8e-05
703,9.5e-05
704,9.2e-05
705,9.8e-05
706,9.4e-05
707,9.6e-05
708,9.5e-05
709,9.7e-05
710,9.8e-05
711,0.00011
712,9.4e-05
713,0.000107
714,9.3e-05
715,9.1e-05
716,9.9e-05
717,0.000104
718,9.3e-05
719,9.3e-05
720,9.5e-05
721,0.000103
722,0.0001
723,0.0001
724,0.000102
725,0.000113
726,9.9e-05
727,9.3e-05
728,9.7e-05
729,9.6e-05
730,0.000102
731,0.000105
732,9.9e-05
733,0.00014
734,0.0001
735,0.0001
736,0.000107
737,9.4e-05
738,0.000101
739,0.000106
740,0.000104
741,0.000102
742,0.0001
743,0.000103
744,0.000103
745,0.0001
746,0.000106
747,0.000101
748,9.9e-05
749,0.000129
750,0.000113
751,9.9e-05
752,0.0001
753,0.000104
754,9.5e-05
755,9.9e-05
756,0.000113
757,0.000107
758,0.0001
759,0.000122
760,0.000101
761,0.000104
762,0.0001
763,9.8e-05
764,0.000112
765,0.000104
766,0.000121
767,0.000103
768,0.000104
769,0.000104
770,0.000102
771,0.000106
772,0.000103
773,0.000107
774,0.000106
775,0.000115
776,0.000103
777,0.000117
778,0.000108
779,0.000114
780,0.00011
781,0.000115
782,0.000106
783,0.000115
784,0.000115
785,0.000117
786,0.000104
787,0.000115
788,0.000111
789,0.000105
790,0.000107
791,0.000109
792,0.000113
793,0.000112
794,0.000156
795,0.000115
796,0.000117
797,0.000117
798,0.00012
799,0.000114
800,0.000111
801,0.000119
802,0.000108
803,0.000116
804,0.000114
805,0.000113
806,0.000111
807,0.000114
808,0.000126
809,0.000117
810,0.00011
811,0.000113
812,0.00011
813,0.000107
814,0.000114
815,0.000115
816,0.000112
817,0.000108
818,0.000114
819,0.000108
820,0.000111
821,0.000109
822,0.000116
823,0.000121
824,0.000119
825,0.000117
826,0.000109
827,0.000121
828,0.000115
829,0.000113
830,0.000108
831,0.000119
832,0.000131
833,0.000112
834,0.000113
835,0.000141
836,0.000112
837,0.000109
838,0.000123
839,0.000114
840,0.000121
841,0.000115
842,0.000116
843,0.000108
844,0.000116
845,0.00011
846,0.000117
847,0.000115
848,0.000116
849,0.000117
850,0.00012
851,0.000129
852,0.000114
853,0.000132
854,0.000116
855,0.000122
856,0.00012
857,0.000122
858,0.000115
859,0.000117
860,0.000122
861,0.000119
862,0.00012
863,0.000131
864,0.000113
865,0.000123
866,0.000121
867,0.00012
868,0.000114
869,0.000118
870,0.000115
871,0.000117
872,0.000121
873,0.000125
874,0.000134
875,0.000126
876,0.000138
877,0.000137
878,0.000116
879,0.000138
880,0.000121
881,0.00013
882,0.00012
883,0.000119
884,0.000146
885,0.000117
886,0.000126
887,0.00012
888,0.000128
889,0.000127
890,0.000122
891,0.000142
892,0.000122
893,0.000122
894,0.000131
895,0.000126
896,0.000115
897,0.000128
898,0.000122
899,0.000126
900,0.000133
901,0.000123
902,0.000121
903,0.000131
904,0.000124
905,0.000136
906,0.000159
907,0.000123
908,0.000146
909,0.000125
910,0.000127
911,0.00014
912,0.000131
913,0.000123
914,0.000125
915,0.000134
916,0.00013
917,0.00018
918,0.00013
919,0.000136
920,0.000128
921,0.00013
922,0.000122
923,0.000141
924,0.00013
925,0.000126
926,0.000132
927,0.000125
928,0.000136
929,0.000134
930,0.000142
931,0.000128
932,0.000132
933,0.000131
934,0.000132
935,0.000142
936,0.000139
937,0.000126
938,0.000192
939,0.000132
940,0.000142
941,0.000133
942,0.000152
943,0.000133
944,0.000135
945,0.000128
946,0.00013
947,0.000134
948,0.000168
949,0.000151
950,0.000139
951,0.000134
952,0.000126
953,0.000127
954,0.00013
955,0.000137
956,0.000133
957,0.000149
958,0.00017
959,0.000136
960,0.000137
961,0.00013
962,0.000136
963,0.000137
964,0.00013
965,0.00013
966,0.000135
967,0.000144
968,0.000165
969,0.000138
970,0.000141
971,0.000137
972,0.000152
973,0.000132
974,0.000138
975,0.000138
976,0.000139
977,0.000131
978,0.000149
979,0.000144
980,0.000134
981,0.000133
982,0.000139
983,0.000133
984,0.000145
985,0.000134
986,0.000139
987,0.000184
988,0.000158
989,0.000141
990,0.000138
991,0.000145
992,0.000156
993,0.000139
994,0.000139
995,0.000137
996,0.000135
997,0.00018
998,0.000143
999,0.000139
1000,0.000152
1001,0.000141
1002,0.000137
1003,0.000146
1004,0.00015
1005,0.000142
1006,0.000146
1007,0.000152
1008,0.000145
1009,0.000143
1010,0.000145
1011,0.00014
1012,0.000143
1013,0.000138
1014,0.000137
1015,0.000171
1016,0.000144
1017,0.000139
1018,0.000141
1019,0.000155
1020,0.000144
1021,0.000148
1022,0.000138
1023,0.000158
1024,0.000167
1025,0.000145
1026,0.000142
1027,0.000137
1028,0.000142
1029,0.000139
1030,0.000142
1031,0.000144
1032,0.000143
1033,0.000144
1034,0.000146
1035,0.000145
1036,0.000143
1037,0.000156
1038,0.00014
1039,0.000156
1040,0.000137
1041,0.000173
1042,0.00015
1043,0.000148
1044,0.000147
1045,0.000152
1046,0.000139
1047,0.000158
1048,0.000141
1049,0.000153
1050,0.000187
1051,0.000152
1052,0.000152
1053,0.000159
1054,0.00014
1055,0.00016
1056,0.000147
1057,0.00015
1058,0.000162
1059,0.000155
1060,0.000164
1061,0.000151
1062,0.000181
1063,0.00015
1064,0.000148
1065,0.000182
1066,0.000149
1067,0.00015
1068,0.000155
1069,0.000148
1070,0.000195
1071,0.000207
1072,0.000197
1073,0.000202
1074,0.000231
1075,0.000221
1076,0.000188
1077,0.000142
1078,0.000167
1079,0.000159
1080,0.000159
1081,0.000155
1082,0.000155
1083,0.000158
1084,0.000163
1085,0.000157
1086,0.000151
1087,0.000178
1088,0.000148
